City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Cabinda,AO,2020-10-19 03:50:18,-5.55,12.2,76.89,86,97,7.38
120,Alofi,NU,2020-10-19 03:50:19,-19.06,-169.92,74.53,82,100,15.52
121,West Bay,KY,2020-10-19 03:50:19,19.37,-81.42,82.0,94,20,7.85
122,Shimoda,JP,2020-10-19 03:50:19,34.67,138.95,64.4,63,75,17.22
123,Iwaki,JP,2020-10-19 03:50:19,37.05,140.88,64.99,67,100,4.94
124,Zafarabad,IN,2020-10-19 03:50:19,25.7,82.73,80.6,78,0,4.47
125,Lata,PT,2020-10-19 03:50:19,40.16,-8.33,62.01,72,49,10.29
126,Nea Fokaia,GR,2020-10-19 03:50:19,40.13,23.4,57.0,54,88,4.0
127,Bethel,US,2020-10-19 03:50:20,41.37,-73.41,48.0,95,51,3.51
128,Lagoa,PT,2020-10-19 03:50:20,39.05,-27.98,62.11,74,6,21.16
129,Mehran,IR,2020-10-19 03:50:20,33.12,46.16,53.6,25,0,6.93
130,Cabuyaro,CO,2020-10-19 03:50:20,4.28,-72.79,74.53,93,100,3.89
131,Yulara,AU,2020-10-19 03:50:20,-25.24,130.99,73.4,69,75,19.46
132,Puerto Baquerizo Moreno,EC,2020-10-19 03:50:20,-0.9,-89.6,69.26,87,88,13.42
133,Dunedin,NZ,2020-10-19 03:50:21,-45.87,170.5,53.01,85,100,10.67
134,Bayeux,BR,2020-10-19 03:47:22,-7.12,-34.93,75.2,88,75,5.82
135,Phalombe,MW,2020-10-19 03:50:21,-15.81,35.65,65.8,56,19,2.33
136,Lahij,YE,2020-10-19 03:50:21,13.17,44.58,81.21,37,0,2.53
137,Hlukhiv,UA,2020-10-19 03:50:21,51.68,33.92,42.58,80,81,13.2
138,Formosa Do Rio Preto,BR,2020-10-19 03:50:21,-11.05,-45.19,80.33,45,58,5.46
139,Hamilton,US,2020-10-19 03:50:21,39.18,-84.53,57.2,82,90,6.93
140,Nikolskoye,RU,2020-10-19 03:49:52,59.7,30.79,35.6,89,75,8.95
141,Kieta,PG,2020-10-19 03:50:22,-6.22,155.63,84.24,68,53,2.01
142,San Cristobal,VE,2020-10-19 03:50:22,7.77,-72.22,66.11,82,92,2.66
143,Mikumi,TZ,2020-10-19 03:50:22,-7.4,36.98,70.57,85,72,1.54
144,Pisco,PE,2020-10-19 03:50:22,-13.7,-76.22,64.4,72,0,6.93
145,Terney,RU,2020-10-19 03:50:22,45.05,136.61,50.88,46,48,4.25
146,Kodiak,US,2020-10-19 03:50:22,57.79,-152.41,44.6,81,75,4.7
147,Antsohihy,MG,2020-10-19 03:50:23,-14.88,47.99,78.89,50,0,7.87
148,Egvekinot,RU,2020-10-19 03:50:23,66.32,-179.17,24.51,87,0,0.92
149,Asau,RO,2020-10-19 03:50:23,46.43,26.4,43.0,92,43,4.41
150,Port Lincoln,AU,2020-10-19 03:50:23,-34.73,135.87,59.9,59,2,9.98
151,Hithadhoo,MV,2020-10-19 03:46:56,-0.6,73.08,83.14,75,68,13.65
152,Uenohara,JP,2020-10-19 03:50:23,35.62,139.12,60.8,72,75,3.36
153,Surt,LY,2020-10-19 03:50:23,31.21,16.59,70.99,63,82,12.8
154,Chuy,UY,2020-10-19 03:50:24,-33.7,-53.46,61.9,89,0,6.67
155,Gat,IL,2020-10-19 03:50:24,31.61,34.76,71.01,86,0,2.95
156,Arraial Do Cabo,BR,2020-10-19 03:50:24,-22.97,-42.03,71.24,80,99,22.41
157,Dudinka,RU,2020-10-19 03:50:24,69.41,86.18,10.4,92,20,13.42
158,Komsomolskiy,UZ,2020-10-19 03:50:24,40.43,71.72,55.4,43,0,6.93
159,Port Hardy,CA,2020-10-19 03:50:25,50.7,-127.42,50.0,100,90,4.7
160,Portland,US,2020-10-19 03:50:05,45.52,-122.68,62.01,85,72,1.01
161,Longyearbyen,SJ,2020-10-19 03:50:25,78.22,15.64,24.8,79,40,10.29
162,Okha,RU,2020-10-19 03:50:25,53.57,142.95,33.13,91,100,21.74
163,Kruisfontein,ZA,2020-10-19 03:50:25,-34.0,24.73,53.83,90,100,3.2
164,Urubicha,BO,2020-10-19 03:50:25,-15.38,-62.95,77.02,66,16,2.57
165,Ketchikan,US,2020-10-19 03:50:25,55.34,-131.65,42.8,93,90,4.7
166,Killybegs,IE,2020-10-19 03:50:26,54.63,-8.45,54.0,93,100,8.01
167,Poum,NC,2020-10-19 03:50:26,-20.23,164.02,74.7,66,0,12.26
168,Muzhi,RU,2020-10-19 03:50:26,65.37,64.67,21.06,94,51,2.75
169,Avarua,CK,2020-10-19 03:49:36,-21.21,-159.78,78.8,74,32,5.82
170,Belyy Yar,RU,2020-10-19 03:50:26,53.6,91.39,35.6,59,31,13.42
171,Tosya,TR,2020-10-19 03:50:26,41.02,34.04,53.98,79,100,1.83
172,Muros,ES,2020-10-19 03:50:27,42.78,-9.06,62.01,44,94,12.75
173,Souillac,MU,2020-10-19 03:50:18,-20.52,57.52,75.2,69,40,11.41
174,Uzhur,RU,2020-10-19 03:50:27,55.3,89.83,31.69,86,99,18.59
175,Xixiang,CN,2020-10-19 03:50:27,35.16,112.86,73.0,99,0,3.98
176,Totskoye,RU,2020-10-19 03:50:27,52.52,52.76,52.75,52,100,9.06
177,Key West,US,2020-10-19 03:49:38,24.56,-81.78,82.4,78,1,13.87
178,Shache,CN,2020-10-19 03:50:27,38.42,77.24,62.98,26,0,3.29
179,Lorengau,PG,2020-10-19 03:50:28,-2.02,147.27,84.18,74,82,4.68
180,Svetlogorsk,BY,2020-10-19 03:50:28,52.63,29.73,37.09,87,74,7.9
181,East London,ZA,2020-10-19 03:50:28,-33.02,27.91,59.0,82,40,4.7
182,Mahebourg,MU,2020-10-19 03:50:28,-20.41,57.7,75.2,69,40,11.41
183,Novaci,RO,2020-10-19 03:50:28,45.18,23.67,39.0,72,1,5.46
184,Tomatlan,MX,2020-10-19 03:50:28,19.93,-105.25,78.01,90,97,2.86
185,Tupik,RU,2020-10-19 03:50:28,54.43,119.93,34.36,84,88,2.48
186,Lebu,CL,2020-10-19 03:50:18,-37.62,-73.65,47.93,86,38,1.77
187,Batemans Bay,AU,2020-10-19 03:50:29,-35.72,150.18,63.0,62,65,3.0
188,Trujillo,PE,2020-10-19 03:47:41,-8.12,-79.03,63.18,83,22,6.13
189,Plouzane,FR,2020-10-19 03:50:29,48.38,-4.62,51.8,81,91,12.75
190,Ostrovnoy,RU,2020-10-19 03:50:29,68.05,39.51,36.3,80,100,15.52
191,Leningradskiy,RU,2020-10-19 03:50:29,69.38,178.42,24.6,88,0,7.2
192,Agadez,NE,2020-10-19 03:50:29,19.75,10.25,75.83,18,0,3.38
193,San Juan,AR,2020-10-19 03:50:30,-31.54,-68.54,76.19,30,0,19.44
194,Faanui,PF,2020-10-19 03:48:58,-16.48,-151.75,79.65,80,68,10.65
195,Touros,BR,2020-10-19 03:50:30,-5.2,-35.46,77.0,78,40,6.93
196,Salekhard,RU,2020-10-19 03:50:30,66.53,66.6,18.39,95,13,3.8
197,Rocha,UY,2020-10-19 03:50:30,-34.48,-54.33,63.77,85,0,7.61
198,Vila Franca Do Campo,PT,2020-10-19 03:50:30,37.72,-25.43,60.8,77,40,19.46
199,Khatanga,RU,2020-10-19 03:50:30,71.97,102.5,9.61,90,0,7.83
200,Pevek,RU,2020-10-19 03:50:31,69.7,170.31,26.46,94,14,16.46
201,Mayor Pablo Lagerenza,PY,2020-10-19 03:50:31,-19.93,-60.77,78.48,66,13,9.57
202,Bac Lieu,VN,2020-10-19 03:50:31,9.29,105.72,85.35,68,96,5.12
203,Benemerito De Las Americas,MX,2020-10-19 03:50:31,16.52,-90.64,71.69,97,29,0.87
204,Nadvoitsy,RU,2020-10-19 03:50:31,63.87,34.32,32.45,98,100,7.36
205,Aklavik,CA,2020-10-19 03:50:31,68.22,-135.01,5.0,84,20,7.0
206,Aginskoye,RU,2020-10-19 03:50:31,51.1,114.53,52.03,44,7,6.93
207,Borovoy,RU,2020-10-19 03:50:32,55.43,86.08,30.2,68,40,15.66
208,Ulaangom,MN,2020-10-19 03:50:32,49.98,92.07,36.03,64,98,13.0
209,Caldwell,US,2020-10-19 03:50:32,43.66,-116.69,59.0,58,1,4.7
210,Marsa Matruh,EG,2020-10-19 03:50:32,31.35,27.25,69.8,88,71,5.82
211,Airai,TL,2020-10-19 03:50:32,-8.93,125.41,80.89,38,66,5.41
212,Tateyama,JP,2020-10-19 03:50:33,34.98,139.87,64.4,63,75,17.22
213,Los Llanos De Aridane,ES,2020-10-19 03:50:33,28.66,-17.92,73.4,88,20,13.87
214,Chapleau,CA,2020-10-19 03:50:33,47.84,-83.4,27.48,97,18,3.87
215,Murgab,TM,2020-10-19 03:50:33,37.5,61.97,46.4,61,0,1.59
216,Severobaykalsk,RU,2020-10-19 03:50:33,55.65,109.32,40.87,87,100,2.95
217,Atar,MR,2020-10-19 03:50:33,20.52,-13.05,83.86,30,15,8.12
